                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6983,                 4.2981,                 4.2552,                0.00347,                0.11552,                0.00287,                0.00089,                 3.6231,                  4.265,                   4.16,              0.0032959,              0.0032959,              0.0032959
                      2,                 3.4747,                 3.8336,                 4.0398,                0.23459,                0.06591,                0.01544,                0.00424,                 3.0708,                 4.0226,                  3.924,              0.0066279,              0.0066279,              0.0066279
                      3,                 3.0702,                 3.4542,                 3.6058,                0.05416,                0.17529,                0.03435,                0.01073,                 2.8253,                 11.951,                 4.0355,              0.0099586,              0.0099586,              0.0099586
                      4,                 2.7792,                 3.1911,                 3.2408,                0.07933,                 0.1585,                0.03762,                0.01142,                 2.6645,                 4.6479,                 3.2484,              0.0099941,              0.0099941,              0.0099941
                      5,                 2.5502,                 2.8894,                 2.9438,                0.19689,                0.23249,                0.11255,                0.03922,                 2.5174,                 4.2412,                 3.0096,              0.0099941,              0.0099941,              0.0099941
                      6,                  2.339,                 2.6168,                 2.7166,                0.35507,                0.31931,                0.27547,                0.10411,                 2.2671,                 2.8837,                 2.7493,              0.0099921,              0.0099921,              0.0099921
                      7,                  2.159,                 2.3904,                 2.5359,                0.39499,                 0.3702,                0.33892,                0.13559,                 2.0775,                 2.3137,                 2.5427,              0.0099901,              0.0099901,              0.0099901
                      8,                 2.0329,                 2.2123,                 2.3858,                0.50965,                 0.4382,                0.44925,                0.19274,                 1.9356,                 1.9926,                 2.3868,              0.0099881,              0.0099881,              0.0099881
                      9,                  1.928,                 2.0551,                 2.2557,                0.48648,                0.39851,                0.39742,                0.17556,                 1.8893,                 2.1353,                 2.3188,              0.0099861,              0.0099861,              0.0099861
                     10,                 1.8595,                 1.9228,                 2.1641,                0.58951,                 0.5348,                0.55372,                0.25811,                 1.8073,                 1.7402,                 2.2185,              0.0099842,              0.0099842,              0.0099842
                     11,                 1.8093,                 1.8869,                 2.1304,                0.61646,                0.54947,                0.57819,                0.27084,                 1.7655,                 1.6738,                 2.1906,              0.0099822,              0.0099822,              0.0099822
                     12,                 1.7904,                 1.8313,                 2.0907,                0.62577,                 0.5424,                0.57976,                0.27946,                 1.7169,                 1.7042,                 2.1247,              0.0099802,              0.0099802,              0.0099802
                     13,                 1.7207,                 1.7418,                 2.0281,                0.66025,                0.58856,                0.64981,                0.32339,                 1.6643,                  1.512,                 2.0676,              0.0099782,              0.0099782,              0.0099782
                     14,                 1.7065,                 1.7011,                 2.0078,                0.66614,                0.58636,                0.64621,                0.32479,                 1.6447,                 1.4865,                 2.0441,              0.0099762,              0.0099762,              0.0099762
                     15,                 1.6803,                 1.6394,                 1.9713,                0.67484,                0.62385,                0.66884,                0.33989,                 1.6192,                 1.4653,                 2.0248,              0.0099743,              0.0099743,              0.0099743
                     16,                 1.6737,                 1.6305,                 1.9562,                0.70374,                0.64931,                0.69628,                0.35937,                 1.5791,                 1.4004,                 1.9665,              0.0099723,              0.0099723,              0.0099723
                     17,                 1.6401,                 1.5615,                 1.9188,                0.71699,                0.64908,                0.70402,                0.37102,                 1.5334,                 1.3353,                 1.9169,              0.0099703,              0.0099703,              0.0099703
                     18,                 1.6274,                 1.5468,                 1.9102,                0.72103,                0.64873,                0.70548,                0.36804,                 1.5452,                 1.3993,                 1.9272,              0.0099683,              0.0099683,              0.0099683
                     19,                  1.601,                 1.5125,                 1.8861,                0.73185,                0.67389,                0.73544,                0.38785,                 1.5194,                 1.3053,                 1.8869,              0.0099663,              0.0099663,              0.0099663
                     20,                  1.588,                 1.4833,                 1.8522,                0.71929,                0.68332,                0.72865,                0.38335,                 1.5209,                 1.3125,                 1.8997,              0.0099644,              0.0099644,              0.0099644
